,pair,3,1
0,roll-wheel,0.0,0.2
1,red-balloon,0.3,0.4
2,red-night,0.3,0.0
3,round-soup,0.3,0.8
4,round-cheese,0.1,0.4
5,round-corkscrew,0.3,0.0
6,round-apple,0.0,0.0
7,roll-bike,0.0,0.2
8,roll-tappet,0.0,0.6
9,round-tray,0.4,0.0
10,roll-brick,0.0,0.6
11,_check1-_check1,0.0,0.0
12,red-pigweed,0.0,0.4
13,round-candy,0.3,0.4
14,red-clarinet,0.2,0.2
15,red-cake,0.3,0.2
16,red-blackberry,0.4,0.4
17,red-pomegranate,0.4,0.2
18,round-spoon,0.5,0.2
19,round-cantaloupe,0.0,0.0
20,roll-projectile,0.0,0.6
21,roll-leather,0.0,0.6
22,roll-breechblock,0.0,0.2
23,_check3-_check3,0.0,0.0
24,roll-donkey,0.0,0.1
25,round-cucurbit,0.2,0.4
26,red-oven,0.3,0.0
27,red-fox,0.3,0.2
28,round-disc,0.2,0.6
29,round-beet,0.0,0.0
30,red-onion,0.5,0.4
31,red-bus,0.0,0.0
32,round-melon,0.5,0.0
33,roll-vaporizer,0.0,0.6
34,_check2-_check2,0.0,0.0
35,round-pomade,0.1,0.2
36,red-sauce,0.1,0.2
37,round-scone,0.4,0.4
38,round-sundae,0.2,0.5
39,round-ketchup,0.2,0.0
40,red-anger,0.0,0.0
41,red-wheat,0.0,0.2
42,red-tomato,0.0,0.0
43,roll-dowel,0.0,0.4
44,_check4-_check4,0.0,0.0
45,red-lentil,0.3,0.6
46,red-grapefruit,0.6,0.4
47,red-crab,0.3,0.2
48,red-rhagoletis,0.4,0.2
49,red-paint,0.0,0.0
50,red-coffee,0.2,0.2
51,red-rooster,0.0,0.8
52,roll-pavement,0.0,0.4
53,roll-paddle,0.0,0.4
54,roll-pipe,0.0,0.8
55,roll-manhole,0.0,0.6
