pair,pairs_removed,total,proportion,n removed,worker_ids
round-pizza,0,12,0.0,0,
red-echinocereus,4,12,0.3333333333333333,4,5adf7fbc09eae200011305a5 5d228245d741d4001aa43eef 5e66856ab10742406840291a 5dac6532ccaa330016e11e8f
round-basketball,1,12,0.08333333333333333,1,5dac6532ccaa330016e11e8f
round-planet,1,12,0.08333333333333333,1,5dac6532ccaa330016e11e8f
red-melon,2,12,0.16666666666666666,2,5adf7fbc09eae200011305a5 5e66856ab10742406840291a
roll-cloth,0,12,0.0,0,
red-pepper,2,12,0.16666666666666666,2,5d228245d741d4001aa43eef 5dac6532ccaa330016e11e8f
roll-surfboard,0,11,0.0,0,
round-lolly,4,12,0.3333333333333333,4,5adf7fbc09eae200011305a5 5b222aff59f9620001c109cb 5d36d1001d6ff70001f0f374 5dac6532ccaa330016e11e8f
roll-fusee,0,12,0.0,0,
_check2-_check2,0,20,0.0,0,
_test2-_test2,0,40,0.0,0,
red-sycamore,2,10,0.2,2,5c8d3f8bf756d40016683868 5e6a3ff6a21e120a40d76a84
red-custard,3,10,0.3,3,5bfe6f8c6e6cd80001bea615 5c8d3f8bf756d40016683868 5e6a3ff6a21e120a40d76a84
round-pudding,1,10,0.1,1,5bae4929254aa9000189a644
round-tomato,1,10,0.1,1,5c8d3f8bf756d40016683868
red-cheetah,3,10,0.3,3,5bfe6f8c6e6cd80001bea615 5c8d3f8bf756d40016683868 5e6a3ff6a21e120a40d76a84
round-circle,3,10,0.3,3,5bfe6f8c6e6cd80001bea615 5c8d3f8bf756d40016683868 5e6a3ff6a21e120a40d76a84
round-shoe,4,10,0.4,4,5bf4d30498496900016ffd14 5bfe6f8c6e6cd80001bea615 5c8d3f8bf756d40016683868 5e6a3ff6a21e120a40d76a84
roll-bottle,0,10,0.0,0,
roll-plastic,0,10,0.0,0,
roll-axle,0,10,0.0,0,
roll-firebox,0,10,0.0,0,
_check4-_check4,0,30,0.0,0,
red-glass,3,10,0.3,3,5d76a2dc2a476a0001ce6843 5ddaaaabc944d1a08138b0cc Dawid Groszyk
red-lime,2,10,0.2,2,5d76a2dc2a476a0001ce6843 5ddaaaabc944d1a08138b0cc
