pair,pairs_removed,total,proportion,n removed,worker_ids
red-glass,3,10,0.3,3,5d76a2dc2a476a0001ce6843 5ddaaaabc944d1a08138b0cc Dawid Groszyk
red-lime,2,10,0.2,2,5d76a2dc2a476a0001ce6843 5ddaaaabc944d1a08138b0cc
round-coleslaw,2,10,0.2,2,5d76a2dc2a476a0001ce6843 5d970320520c980013241545
round-pie,2,10,0.2,2,5d76a2dc2a476a0001ce6843 Shummana.2010@hotmail.com
red-nectarine,2,10,0.2,2,5b222aff59f9620001c109cb 5d76a2dc2a476a0001ce6843
red-herring,2,10,0.2,2,5b222aff59f9620001c109cb 5d76a2dc2a476a0001ce6843
roll-kickstand,0,10,0.0,0,
round-bowl,0,10,0.0,0,
red-broccoli,0,10,0.0,0,
roll-pencil,0,10,0.0,0,
roll-wrench,0,10,0.0,0,
_check1-_check1,0,10,0.0,0,
_test1-_test1,0,10,0.0,0,
