_unit_id,_id,_worker_id,_started_at,_created_at,description,relation,concept,property,answer
0ccaef8e-e47a-4e54-918e-6da38a760f28,66093,5e86116068b86421a020e345,2010-01-01 01:01:00,2010-01-01 16:38:23,``Corncob'' is one of the first things which come to mind when I hear ``red''. ,typical_of_property,corncob,red,false
1fcec1fa-99cd-4b33-936d-4c4026a64a40,66210,Stay at home mum,2010-01-01 16:44:30,2010-01-01 16:39:23,You can find (a/an) vanilla which is red. Red is one of many possible colors (a/an) vanilla can have. The range of colors is almost ulimited. ,variability_open,vanilla,red,false
a50cbab5-e499-4398-ace4-f6743c81edcd,66234,5e86116068b86421a020e345,2010-01-01 16:45:17,2010-01-01 16:39:32,I know that all or most nozzle(s) roll regularly or are used for rolling regularly. ,afforded_usual,nozzle,roll,true
29bbb966-ee38-4e27-8b8d-fe3d73d0590a,66237,Stay at home mum,2010-01-01 17:04:58,2010-01-01 16:39:32,``Vanilla'' is one of the first things which come to mind when I hear ``red''. ,typical_of_property,vanilla,red,false
05671314-abf5-4dfb-a53c-245f6c160471,66246,Stay at home mum,2010-01-01 16:49:12,2010-01-01 16:39:37,"I think (a/an) cucurbit can be red, but this is rare or uncommon",rare,cucurbit,red,false
3b45cc81-c467-470a-a2af-be2e5d8b369c,66282,5e86116068b86421a020e345,2010-01-01 16:53:55,2010-01-01 16:39:50,You can find (a/an) nozzle which can roll/be used for rolling. This distinguishes a certain type of nozzle from others. ,variability_limited,nozzle,roll,true
9e2a4c98-1462-461f-bfcc-b8679a5c18f1,66288,Stay at home mum,2010-01-01 16:49:24,2010-01-01 16:39:53,I know that being red is necessary for many things (a/an) corncob does or is used for. ,affording_activity,corncob,red,false
413b6dbd-93e1-4a06-8cf1-24953cb21879,66296,Stay at home mum,2010-01-01 16:49:07,2010-01-01 16:39:56,``Red'' is one for the first things which come to mind when I hear ``vanilla''.,typical_of_concept,vanilla,red,false
bccc1e86-d1bd-489a-bb43-3f11c49f5059,66317,5e86116068b86421a020e345,2010-01-01 16:39:50,2010-01-01 16:40:05,I know that (a/an) nozzle can roll/be used for rolling as most or all other things similar to (a/an) nozzle roll. ,implied_category,nozzle,roll,true
7902b9d0-8a29-4a7a-a240-e34e0a1cdb81,66318,Stay at home mum,2010-01-01 16:40:16,2010-01-01 16:40:05,I know that (a/an) egg is round as most or all other things similar to (a/an) egg are round. ,implied_category,egg,round,true
be23ea60-651d-11ea-824c-acde48001122,66332,Stay at home mum,2010-01-01 16:46:04,2010-01-01 16:40:11,"Usually, (a/an) nozzle cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) nozzle can roll.",unusual,nozzle,roll,false
3b45cc81-c467-470a-a2af-be2e5d8b369c,66342,Stay at home mum,2010-01-01 16:48:53,2010-01-01 16:40:16,You can find (a/an) nozzle which can roll/be used for rolling. This distinguishes a certain type of nozzle from others. ,variability_limited,nozzle,roll,false
864d035a-bf0d-486a-99e2-a33c17774531,66353,Stay at home mum,2010-01-01 17:08:48,2010-01-01 16:40:22,"Usually, (a/an) vanilla is not red, but there could be a highly unusual situation in which (a/an) vanilla is red.",unusual,vanilla,red,false
2aa7e9b1-3f36-4206-bff4-764f54c5fcd6,66362,Stay at home mum,2010-01-01 16:46:17,2010-01-01 16:40:26,"I think there is a tub  which can roll/be used for rolling, but this is rare or uncommon.",rare,tub,roll,true
test1,66368,Stay at home mum,2010-01-01 16:47:17,2010-01-01 16:40:29,"""Yellow"" is one of the first things which come to mind when I hear ""canary"". ",test_true,_test1,_test1,true
6e933bb8-85df-4290-aef3-3abb15f7b039,66373,Stay at home mum,2010-01-01 16:48:31,2010-01-01 16:40:32,I think it is impossible for (a/an) nozzle to roll/be used for rolling.,impossible,nozzle,roll,false
8210f8a6-33b7-49a0-ab54-9c0ba31174ae,66379,Stay at home mum,2010-01-01 16:50:09,2010-01-01 16:40:35,I know that being red is necessary for many things (a/an) cucurbit does or is used for. ,affording_activity,cucurbit,red,false
5d8e722a-ffe8-482b-9982-0c0eef9a3d70,66390,Stay at home mum,2010-01-01 16:39:32,2010-01-01 16:40:38,``Nozzle'' is one of the first things which come to mind when I hear ``roll''. ,typical_of_property,nozzle,roll,false
636ec4fe-2c24-44db-acf4-ef021036f95e,66394,Stay at home mum,2010-01-01 16:49:58,2010-01-01 16:40:43,I think it is impossible for (a/an) paint to roll/be used for rolling.,impossible,paint,roll,false
0ccaef8e-e47a-4e54-918e-6da38a760f28,66401,Stay at home mum,2010-01-01 16:45:40,2010-01-01 16:40:46,``Corncob'' is one of the first things which come to mind when I hear ``red''. ,typical_of_property,corncob,red,false
7a54b702-ac38-4e5e-9e2e-e559d7c8c746,66405,Stay at home mum,2010-01-01 16:44:55,2010-01-01 16:40:47,``Cucurbit'' is one of the first things which come to mind when I hear ``red''. ,typical_of_property,cucurbit,red,false
caffae1d-93f5-4be3-a94d-0aa9ead026ee,66412,Stay at home mum,2010-01-01 17:08:35,2010-01-01 16:40:50,You can find (a/an) tub which can roll/be used for rolling. This is not what it usually does or is used for. ,afforded_unusual,tub,roll,true
98a89247-9c34-492b-aad7-8a3c1fca0e20,66418,Stay at home mum,2010-01-01 16:49:48,2010-01-01 16:40:53,"Usually, (a/an) corncob is not red, but there could be a highly unusual situation in which (a/an) corncob is red.",unusual,corncob,red,false
3d064e85-8eca-492b-9a8d-77b873ca201b,66421,Stay at home mum,2010-01-01 16:49:11,2010-01-01 16:40:55,``Round'' is one for the first things which come to mind when I hear ``egg''.,typical_of_concept,egg,round,true
