,pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,average_time_pair,annotators_contradicting,"('afforded_unusual', 'unusual')","('afforded_usual', 'unusual')","('typical_of_concept', 'unusual')","('implied_category', 'unusual')","('typical_of_property', 'unusual')","('impossible', 'typical_of_concept')","('impossible', 'typical_of_property')","('affording_activity', 'unusual')","('implied_category', 'impossible')","('implied_category', 'rare')","('rare', 'typical_of_concept')","('rare', 'typical_of_property')","('affording_activity', 'impossible')","('afforded_unusual', 'impossible')","('afforded_usual', 'impossible')","('affording_activity', 'rare')"
26,roll-spindle,50,5,22,4,0.8,0.44,57.71166000000001,5dc0395f2a1dd64710661ccd 5ddc56fbf290e7bbfa96481d 5de6d199a23d79000bf9aef9 5de8576d4f21b47d008d37c7,3.0,2.0,2.0,3.0,2.0,2.0,2.0,,2.0,,,,,2.0,2.0,
231,roll-bolt,50,5,21,5,1.0,0.42,85.33538000000001,5acb5910e1546900019c413a 5c5758e9efe1550001dc31b6 5d3f14f66a8a4e0018c17ed9 banking University student,4.0,4.0,3.0,3.0,3.0,1.0,1.0,,,,,,,1.0,1.0,
23,roll-mandrel,50,5,21,5,1.0,0.42,57.71166000000001,5dc0395f2a1dd64710661ccd 5ddc56fbf290e7bbfa96481d 5de6be6912bcf6041b3276ba 5de6d199a23d79000bf9aef9 5de8576d4f21b47d008d37c7,5.0,4.0,5.0,4.0,3.0,,,,,,,,,,,
227,roll-lamp,50,5,17,4,0.8,0.34,85.33538000000001,5acb5910e1546900019c413a 5d3f14f66a8a4e0018c17ed9 banking University student,3.0,,2.0,3.0,1.0,2.0,2.0,,1.0,,,,,2.0,1.0,
96,red-mentzelia,50,5,16,4,0.8,0.32,72.65796,5b994a6d700b020001c572e2 5d134f52f1341200164f90e4 5de4e06be4f42a477cdbb682 5c4e3248ad466000019166df,,,3.0,2.0,3.0,2.0,1.0,3.0,1.0,,,,1.0,,,
39,roll-nut,50,5,16,5,1.0,0.32,53.84756,5a4bf85dac413f0001e6076a 5bfa79fdb8a4c50001b8a68a 5c37b6c692952a0001b3216d 5d17a2f44c7891001601beec 5de6cc22271a1c64c9412187,4.0,3.0,4.0,3.0,2.0,,,,,,,,,,,
376,roll-barrel,50,5,16,4,0.8,0.32,78.14953999999999,591d7a33e4b20e00016c2798 5a473bda7aebf70001153fb5 5d53cd2405ac770016f224e5 5db35f3fe6208e000af26586,3.0,2.0,3.0,4.0,4.0,,,,,,,,,,,
25,roll-pipe,60,15,19,4,0.26666666666666666,0.31666666666666665,586.32502,5dc0395f2a1dd64710661ccd 5ddc56fbf290e7bbfa96481d 5de6be6912bcf6041b3276ba 5de8576d4f21b47d008d37c7,4.0,4.0,3.0,3.0,3.0,,,,,,,,,1.0,1.0,
52,roll-pulley,50,5,14,4,0.8,0.28,81.44221999999999,5db954a2af32f6000a8fe36c 5ddae8d6c23e0da4764f9fae 5de78426bbdd79000ec0259d 5d36d1001d6ff70001f0f374,1.0,4.0,4.0,3.0,2.0,,,,,,,,,,,
274,red-cherry,50,5,14,2,0.4,0.28,52.46538,5d77940e1ba9c60016f0d17f 5de8dc07f42a16000a301cd6,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,1.0,,,
16,roll-bead,47,5,13,3,0.6,0.2765957446808511,54.769485714285715,5a50c8afac562400015353b7 5bda4059ea656500011d5334 5baa4c22c4d93b0001bea5a5,3.0,3.0,2.0,3.0,2.0,,,,,,,,,,,
54,round-doughnut,47,5,13,3,0.6,0.2765957446808511,97.11895142857142,5ddae8d6c23e0da4764f9fae 5d36d1001d6ff70001f0f374 5de78426bbdd79000ec0259d,,,2.0,2.0,3.0,1.0,1.0,2.0,1.0,,,,1.0,,,
275,roll-hammer,60,15,16,5,0.3333333333333333,0.26666666666666666,759.8853266666666,57e131b80cb6700001dd7e5c 5d14abad4d38750001435f74 5d77940e1ba9c60016f0d17f 5d99be023fdbbd00181f6548 5de8dc07f42a16000a301cd6,4.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,,,,,2.0,1.0,
298,red-chili,50,5,12,2,0.4,0.24,51.76862000000001,59efd1e377860e0001513786 5de76e8d36d8256e47625c4f,,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,1.0,,,
28,red-flower,50,5,12,3,0.6,0.24,57.71166000000001,5dc0395f2a1dd64710661ccd 5ddc56fbf290e7bbfa96481d 5de8576d4f21b47d008d37c7,,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,1.0,,,
