pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,average_time_pair,workers_contradicting,workers_not_contradicting,"('rare', 'typical_of_concept')","('implied_category', 'rare')",annotations_with_contradiction,"('implied_category', 'unusual')","('impossible', 'typical_of_concept')","('implied_category', 'impossible')","('impossible', 'typical_of_property')","('affording_activity', 'impossible')","('typical_of_concept', 'unusual')","('typical_of_property', 'unusual')","('affording_activity', 'unusual')"
red-wine,96,10,8,2,0.2,0.08333333333333333,76.92995,5d8aa954b3ac0b001d7690c9 5e079c34ecb3ea11a5b6dbc4,5bace93b5cd4520001dc04a5 5c8fe91371f3100016181dfd 5cb5c76bace91300180ca56b 5cb653e0e9187600014da063 5d87c32970975d00159dd84c 5dfc9db54cac6899b466a76b 5e6e2b864acb203ddcbbc064 5e7a1477701cba04f04d5b14,,,2838bfd3-3f45-4e6e-be1f-5004a164f77a 1721cfca-8d29-415c-a92a-d91f3b6808f2 5a7779d7-4814-4ec9-8a2d-d6d0cca4bb33 80420088-eee8-4b16-8236-86fa6418774d cb2971e1-486c-4be7-8b3f-8941336c8b59 39db1cfb-f89d-4dc4-b293-c091e0c82d6f 0ca77002-4f0a-488a-9ad0-3a176d33384f 88f1da58-0df1-458f-a082-8acf7dc9543b 908e358b-61b2-422f-826a-d0f4a76d7ee7 63257e32-fe78-451b-9b8b-99282fcd6739 93462f1c-b997-401c-9568-4df68c2edaa5 81ccb9e0-0da8-4b54-8e46-3d234b4600b9 a2b98f42-a88f-48f1-acef-d2e9e8bb520d 5c912d7d-16e5-47a2-abfa-6de010a7ecc7 c3db903d-3643-4f64-8e4d-652b5c187e6e b2dfad53-feb0-4f12-9e5b-e7291f0d3506 f8086e37-90d8-4048-a58e-759efba8b834 68716227-e8c8-45ae-9943-26a038851d90 90a899ca-2c1f-40fd-a061-b9eae8548ed2 822542f3-d461-4465-bcab-903346671ade,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
round-fondant,94,10,3,2,0.2,0.031914893617021274,79.19720444444445,5cb5c76bace91300180ca56b 5e7a1477701cba04f04d5b14,5bace93b5cd4520001dc04a5 5c8fe91371f3100016181dfd 5cb653e0e9187600014da063 5d87c32970975d00159dd84c 5d8aa954b3ac0b001d7690c9 5dfc9db54cac6899b466a76b 5e079c34ecb3ea11a5b6dbc4 5e6e2b864acb203ddcbbc064,,1.0,e638333e-ece2-4878-9dbd-5b8015d9ec58 bf62260b-adf6-4023-a6ab-dd45177f96ea d7a5fce2-bf9c-4256-bafc-5ac8cea0ead7 eb448639-bc81-422e-98dd-705f0253a781 0dc685d0-cd80-49c2-9024-97b2ef1c3b5d 84a43f8c-dd79-4513-8f90-6ad9ad5d2056 6bae63af-2b60-4449-810b-f7d727496c61 1e155eab-e900-4ded-9108-de69d3d86189 8ab9f6cb-743f-4023-a16b-a632eabb6690 6da3f908-9080-4938-8998-a49ddb634873 a72c976c-9c72-497d-bbd6-270ad628c0ed 56afb698-d877-4ecc-bc24-d1555353b249 2923dd36-d47e-4c2f-be0e-70553a05667f 1abc78d2-0ab6-49c5-b330-a997301dd174 da9e6264-9096-46ee-8ffa-bc1f8bcb158e,1.0,,,,,,,1.0
red-vine,96,10,3,1,0.1,0.03125,76.92995,5d87c32970975d00159dd84c,5bace93b5cd4520001dc04a5 5c8fe91371f3100016181dfd 5cb5c76bace91300180ca56b 5cb653e0e9187600014da063 5d8aa954b3ac0b001d7690c9 5dfc9db54cac6899b466a76b 5e079c34ecb3ea11a5b6dbc4 5e6e2b864acb203ddcbbc064 5e7a1477701cba04f04d5b14,,,8bac45f4-4445-4655-8092-685782483efc 5741fa14-0f3a-4c73-8389-fcd305417c85 1bf15de8-a35c-4349-89d6-2a8039bf74ec c3944424-9f39-4966-a646-9226978c0ba3 92f51f25-2ec4-48a4-ba70-7992bf42ba76 54c914e3-fe5e-4d0a-adc1-85fe2c182cd2 441e7a16-9425-47fe-a605-3b23d8447d59 6aa27290-c33f-498b-a7f3-c5cf5f98fc30 60e0f807-b703-43f0-9068-04501cd70d28 d50f7e04-8051-40b3-b328-32cd714318e3,,1.0,1.0,1.0,,,,
round-gourd,92,10,2,1,0.1,0.021739130434782608,92.17405000000001,5cb5c76bace91300180ca56b,5bace93b5cd4520001dc04a5 5c8fe91371f3100016181dfd 5cb653e0e9187600014da063 5d87c32970975d00159dd84c 5d8aa954b3ac0b001d7690c9 5dfc9db54cac6899b466a76b 5e079c34ecb3ea11a5b6dbc4 5e6e2b864acb203ddcbbc064 5e7a1477701cba04f04d5b14,1.0,1.0,86a7c620-5875-4398-96c5-95760c67ea29 0cd8f780-b5d9-4e9d-a428-8897ee31a892 106434b0-4d39-4ff9-8666-010dddf2c437 c195aed2-5617-4e9b-b4d4-2756183299a0 bbf46697-2200-4809-89e7-6b42ec63ab0f 16343015-b892-444b-98a0-ab0fbf6c6020 eca944d4-d092-4c81-9771-51682ca44baa 15f6c6bd-4b0d-4772-9bb9-6fdf450bd7bd a4f1c35e-1422-44f0-9b69-11f62f20af03 0bcc14c4-7285-4fd1-b549-e11ea33df721,,,,,,,,
red-milk,95,10,2,1,0.1,0.021052631578947368,78.45436000000001,5d87c32970975d00159dd84c,5bace93b5cd4520001dc04a5 5c8fe91371f3100016181dfd 5cb5c76bace91300180ca56b 5cb653e0e9187600014da063 5d8aa954b3ac0b001d7690c9 5dfc9db54cac6899b466a76b 5e079c34ecb3ea11a5b6dbc4 5e6e2b864acb203ddcbbc064 5e7a1477701cba04f04d5b14,,1.0,fe2c8f10-995f-4aca-9020-d08f56d3a270 adb4790e-31bc-43ac-a8da-932b88eb79be dd97ca3c-e5e7-427a-b7be-d8514422e4cb c8822b45-10f7-44f5-92d0-da3d109795ab c6f111e2-c418-41b6-868f-4b98b846ccff 5706a8ec-8f7f-4ce4-97d4-8032d1f2384e adf0186e-610e-4e9a-9672-c6fc6520941b d5ac56c0-3180-45d5-9daa-e9ea7abf7709 6fd19f6b-0395-4a1d-81d2-57f6773fdc6c 0cd40e62-2805-493e-8043-b9f863764870,1.0,,,,,,,
round-wheel,94,10,0,0,0.0,0.0,80.740975,,5bace93b5cd4520001dc04a5 5c8fe91371f3100016181dfd 5cb5c76bace91300180ca56b 5cb653e0e9187600014da063 5d87c32970975d00159dd84c 5d8aa954b3ac0b001d7690c9 5dfc9db54cac6899b466a76b 5e079c34ecb3ea11a5b6dbc4 5e6e2b864acb203ddcbbc064 5e7a1477701cba04f04d5b14,,,,,,,,,,,
red-carrot,44,10,0,0,0.0,0.0,176.34582500000002,,5bace93b5cd4520001dc04a5 5c8fe91371f3100016181dfd 5cb5c76bace91300180ca56b 5cb653e0e9187600014da063 5d87c32970975d00159dd84c 5d8aa954b3ac0b001d7690c9 5dfc9db54cac6899b466a76b 5e079c34ecb3ea11a5b6dbc4 5e6e2b864acb203ddcbbc064 5e7a1477701cba04f04d5b14,,,,,,,,,,,
red-barn,57,10,0,0,0.0,0.0,130.75726666666665,,5bace93b5cd4520001dc04a5 5c8fe91371f3100016181dfd 5cb5c76bace91300180ca56b 5cb653e0e9187600014da063 5d87c32970975d00159dd84c 5d8aa954b3ac0b001d7690c9 5dfc9db54cac6899b466a76b 5e079c34ecb3ea11a5b6dbc4 5e6e2b864acb203ddcbbc064 5e7a1477701cba04f04d5b14,,,,,,,,,,,
roll-wiffle,10,10,0,0,0.0,0.0,738.8113000000001,,5bace93b5cd4520001dc04a5 5c8fe91371f3100016181dfd 5cb5c76bace91300180ca56b 5cb653e0e9187600014da063 5d87c32970975d00159dd84c 5d8aa954b3ac0b001d7690c9 5dfc9db54cac6899b466a76b 5e079c34ecb3ea11a5b6dbc4 5e6e2b864acb203ddcbbc064 5e7a1477701cba04f04d5b14,,,,,,,,,,,
roll-piston,10,10,0,0,0.0,0.0,738.8113000000001,,5bace93b5cd4520001dc04a5 5c8fe91371f3100016181dfd 5cb5c76bace91300180ca56b 5cb653e0e9187600014da063 5d87c32970975d00159dd84c 5d8aa954b3ac0b001d7690c9 5dfc9db54cac6899b466a76b 5e079c34ecb3ea11a5b6dbc4 5e6e2b864acb203ddcbbc064 5e7a1477701cba04f04d5b14,,,,,,,,,,,
