pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,average_time_pair,workers_contradicting,workers_not_contradicting,"('afforded_unusual', 'unusual')","('afforded_unusual', 'rare')","('implied_category', 'unusual')","('implied_category', 'rare')","('afforded_usual', 'unusual')","('afforded_usual', 'rare')","('typical_of_concept', 'unusual')","('rare', 'typical_of_concept')","('afforded_unusual', 'impossible')","('afforded_usual', 'impossible')","('implied_category', 'impossible')","('typical_of_property', 'unusual')","('impossible', 'typical_of_concept')","('impossible', 'typical_of_property')","('rare', 'typical_of_property')",annotations_with_contradiction,"('affording_activity', 'rare')","('affording_activity', 'impossible')","('affording_activity', 'unusual')"
roll-pencil,100,10,42,8,0.8,0.42,87.81158,5887951f5b971900013a03c0 594ec14a3e9d730001924da6 5a6adef80384310001944ba8 5c697f4575b3d50001b8a537 5d1642dfa80294001e5271c4 5d323affa754dc00018b15cc 5e08b611361a851bde3ce928 5e8a03c98707ab000b65f3bb,5aff2de2a415960001f26f36 5c045c0d5df86a0001971e68,6.0,5.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,b213ba26-02f1-4c6d-8276-c7ca7be773f8 ba2dda40-d3d8-4f79-af6c-775d0a0e1af0 9d81f426-8c00-49ea-9617-5ef20bf69ff7 00720379-6252-499f-acc1-78f8c6aa0695 b301bc9e-f2e4-405d-a70e-82c7402d5140 f80ba087-9ab0-48c6-b846-e7a39f41bb3d 6fd6151b-62b1-45e0-b852-78d93082b49b cb7d974b-803e-48bb-ab30-9c46b0fb5216 e99e2ae6-b4a0-4361-915c-a08e23f2e095 2bfa5327-026c-4c6e-b065-be835cad9177 b33a92b1-31ad-42f6-b94e-ebce7a7d5a90 1ca2b514-ec78-4563-8ed6-d2b48c609fa4 9bb2919e-1a77-4363-9698-46de03c54c20 4b5b84df-7a64-43de-9404-949304df1f58 d0dcf5b2-14ac-4981-97a6-abee5e840f07 50eb895f-4468-4b97-8498-c62400e76f4f 800415ec-e418-49a3-9a7c-6a917497da2e 04e88a06-182f-44e0-bc02-723de7b6c711 ee021376-c859-4f03-9536-990aef79fd63 b48bf039-f7ce-4655-b600-4a7678d0a17f b5482603-bbf3-4655-92fe-2406211a2297 b5319653-8bae-4170-9924-3fe201d49db9 97e37998-e6df-49e2-9de4-ae956ff8cf3f ad6f7c67-5317-4cb8-9fe4-9b7acbdbbe16 e9f34672-7e83-4e55-95ab-c50e3db5479c 0355134b-c447-4549-8936-2b59eeb06c6a 1fd85b29-9fda-4daf-b015-bafa840f12cf 5082eb95-de11-49a9-ae7d-c7107382c17a 91d1bded-2abc-4c34-ba33-dc365aaef322 e3bc836e-d387-40a8-83ea-1ca4368a0da2 0a37ca63-a342-4357-af60-65ff11283c7a ecbca0fe-eabc-452f-9230-9cdf0dd0233f 80413c99-72ab-429a-b681-80ec243ae23a b3741459-5313-4646-8983-1b73b13be29d 0f30dbef-d72d-4a17-b684-cd9c43b34f8a b0c978a8-a4d6-491f-93ad-0ebee6f7db2d b1e8a838-fc7c-4078-8cb6-bc0481779a9a 3e3dbbcf-fbc2-4bd3-a49d-6d495f8e904a d818cd03-7658-4c27-bb20-5c82d5a52905 4f2f2a3e-5663-4697-b341-0f1da9dabc14 637bf5f5-cf1c-41a6-be36-5a3e05b73a4b e35360d3-42b8-472f-95b2-2e0f248b745e 555ca37e-4417-4582-9120-20c32cc3ee83 08f7bd1b-4f6c-4a61-8147-13427c917d82 8f7bd422-020d-47be-95a3-73a6f2905c86 85c5f28e-1b14-4cdc-9aba-1b82065ed4d4 ba7630c2-5b75-48ce-a566-4fbf73369d80 e68bff7b-2f3e-4641-b9af-3608c4028629 c88ecdd8-d060-4f3e-a4c0-2f3dc1f9d98e a7acacde-d521-44bf-bc7c-0e4f317ba91f 2ccc65f1-ed62-4a56-93e2-099ea9cbf3a4 54e8c84f-4080-4725-8855-276847881cb1 9143a24e-7e33-4d71-8eed-903e0103f329 5a07afa8-013a-48a0-adbb-2877e8ef0822 d47995e0-0821-436d-b603-8c29f8293bcb ebc32244-766e-45e4-87f0-d86dac54a235 b1031bd6-4950-418f-83ee-be19bdc1f18a 5f6761e6-20e2-421b-9cda-ed808be609f9 e48233a6-fdcd-4268-89b8-1c13d5f8b1d2 9d6971c8-8447-49a1-bb3f-6d81b3433a77 6e3be649-d5d8-46e2-88e8-333136e9ba90 6cd7a2b2-06ed-446a-b049-c6046cd5cade e9a6b3ae-d282-491e-b58b-03c72c80760b 2974afeb-83c1-4974-8b5f-8edd0856ae8b f4e97cca-f0bc-4dbc-9048-7a81b7cf2595 4fc46d8a-28bf-4ae4-b2ef-db6b8fa3b6d8 fbdc29a3-20dd-4f86-b9d5-7f50aa40800e 2f7734ee-ec63-490a-a477-c45c4950136f 7d283d8a-47db-440f-aba0-16940531d0bf 6d954b62-7f68-4327-9a54-99b10be2ea04 f4c61321-3e14-433a-9cf3-446bbe5c00bd a13abe27-ee7b-46d4-a105-0d6055294cc4 051a913f-88f8-4189-b6ea-55da08d88502 619eda46-f0ff-4195-945e-3d04c26c49ec c5ba3295-6883-430c-892a-ae11a5d6fded 7a9be505-d290-41ae-a69c-8b3d2f7d1a0a 4560e137-475d-44e5-ab74-303b347e32cf 94e0aabe-7ee0-4f9d-ac2d-da3ecb2309d0 7306d0cd-ab1b-4ab5-8db0-939cd3e5be28 81b65e7a-eb57-4a85-9db7-e4f9e259e27f,,,
roll-cart,100,10,25,7,0.7,0.25,87.81158,5887951f5b971900013a03c0 594ec14a3e9d730001924da6 5a6adef80384310001944ba8 5c045c0d5df86a0001971e68 5c697f4575b3d50001b8a537 5d323affa754dc00018b15cc 5e8a03c98707ab000b65f3bb,5aff2de2a415960001f26f36 5d1642dfa80294001e5271c4 5e08b611361a851bde3ce928,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,b296f852-60eb-4b50-8ab6-4b6cd87d6aa2 c4741711-f0d1-449a-92bf-ab71216c381a 0ace0e99-beb6-487b-a412-1a10d8d3fb29 7f6ab6dd-7f0b-45b8-ba62-69e9d1662b6f 7ed062c1-882e-447f-a60c-9b927caed600 df1bc876-669c-43e7-8e08-0a8beda142b3 0d7d121f-d09f-4195-8d10-b398dade4999 76b05370-b061-4719-bbf7-521e23557124 c64faec3-a64b-4d21-b2b2-b0f8c2f055bc ab93c8b7-f6f9-4560-90d2-99e99c053ac9 25f56f9d-f85b-49b3-aa0c-c5ef76308366 8e202b80-219c-4ed2-bbd8-e2fcc9f56481 979cbeeb-e555-4fd3-a58a-7d01011f78ad ad57e713-d789-41f7-91f4-1f6225549972 bc194eda-c5e7-44a3-bb6f-ac983a46aeba e3682adf-1903-45c8-aa70-2cba48c61a8d 6fdd3f20-98c8-4781-9a53-b6d11c695f59 b73c303b-be86-4ab9-85b7-67063fc9ff0d 0907131a-b356-4a48-8efa-997bd7ed2046 6addef81-6f6f-4228-b53e-526c91a4dc85 8644de6b-e6f2-43bc-8110-527aa61d6105 33cc7320-7ae6-49b6-b0b2-b628e1bfe484 bef18a4d-eede-47cb-9967-966cb6a483dc 5f449477-1872-4c7c-a39c-9da3dc0785ff c1398a79-e8b1-403d-a15b-d38bf6c84ded 7a3b8509-69b0-462c-9bf6-d3f8f1ca4bf8 14e864b9-f542-4f7c-b879-36e8aa7bbb9a b8afdf32-07c5-43bc-978c-ad8ac6fb517a 327af90a-14d6-43e5-9a45-437b360a1f8b 8df970cc-e1dd-419a-a6e6-314c3264cea5 bf22b6ed-f424-4ac0-b5d9-0078a87c9e29 7aff410e-af85-4552-b3b9-de8c222517e8 45504ef5-34dc-42fd-8b34-5df4b6c00593 1e275928-4671-49fb-bc3a-5c6f174d6e72 5ab1e1aa-6672-4354-8b31-f8a61046eadf 2ee873f4-c700-4c0f-ac82-ac71b8fb8337 cd9e15bf-f364-498b-9f4a-c33434dff2c0 2c97e740-414b-4043-8acc-43f35bbdb0bc a22cacf6-41d6-4941-89f6-7ace833e26b2 2ecb908d-1c36-4b31-bb0d-0eb0f3ca2c40 9283a241-887d-47bf-815c-d8f970c0932f 97e5948e-2f0b-4cd4-a5e7-f7b71493a2d3 ebaca4b2-07e7-42a4-9d62-62465943c323 53a3e078-a347-4d6f-b3b2-668149a8e453 68bf2ad8-940b-40b7-b575-daecf9ba5651 3c8cebfd-98d2-4d91-a2d5-1add575dc0a6 23c59001-1bcb-4642-a2b6-0800cd77b6bf 17bad4a9-059e-4568-89c8-1cce6d317aef 95949ac8-b919-4ad6-a24d-3a987f60abb0 a627951d-7e00-480b-bd61-250052e321c6 45becb71-3844-40b9-acbe-77d0b12883c9 96246cad-c392-45b8-8469-c308655017a6 07f38927-94cb-44a9-a1ff-cf8e22a836f7 f96a8b9e-1605-4b4e-83e0-e10ebfa7ba8a 967a8912-1a99-4368-99b2-b23dd72d3ad9 089c141e-ac49-48d3-b9e7-a253ea2047d3 6d6b9a3a-85d6-4855-86c7-5a73cac2ee3a fa51db8d-68ba-484b-92e1-b56b338f64a9 8eb33e1e-a589-45ba-befa-b8d255d0dc5e ec8e9f47-97b1-4028-851d-f42cd9d8acc0 3626ed95-32fe-4a3a-8c74-f214bbef068f 07851002-5a92-4365-8a5f-77e8db7fd3a3 5ecc08a2-a092-49f6-8b07-c752df5ab274 e70d0caf-558d-462c-a703-c85d39469db7 ed986909-543c-423b-bf3c-ce13c54c145d 4163fbdc-13d0-4985-be97-8bf8f88a4885 cdf046b9-5b33-4db9-8d50-4fa057e84935 1eac6cf6-f9db-4f98-847d-952a3fdeaf42 c9e3b45d-a3d2-42d3-a99d-280b31a035c5 d9b8059a-391f-40e6-9463-279e9594137d,,,
roll-pig,100,10,19,8,0.8,0.19,87.81158,5887951f5b971900013a03c0 594ec14a3e9d730001924da6 5a6adef80384310001944ba8 5aff2de2a415960001f26f36 5c697f4575b3d50001b8a537 5d1642dfa80294001e5271c4 5d323affa754dc00018b15cc 5e08b611361a851bde3ce928,5c045c0d5df86a0001971e68 5e8a03c98707ab000b65f3bb,5.0,4.0,1.0,1.0,,,,,5.0,1.0,,,1.0,1.0,,78414051-ce37-4dcf-98bc-e976bd75f79c 159adebc-d0ae-4904-a737-b4a5a4b4e106 4ed02a11-d9e6-4b11-9c3c-31928e857d84 c215308d-3f9f-4b90-8f07-84502efd236a d1a7a9b2-af1c-4014-9433-885bd4048ac0 3b632d6e-d625-43ae-a84f-172c8f3c0760 158a10c9-dd09-47d6-ada4-3ae1052384fe fed2863d-73b7-49f8-a0ba-073fe0a7636a dded00e4-1ef6-4564-b99e-06950882de01 a5889c94-05d5-48e7-8bd5-1ea4f5d5c540 d09831db-c62a-4d1e-86b8-daee07d7293a ca156183-d913-4da5-9c41-4a3a107513de bdf02478-c834-4928-80ce-78c3b0a253d1 1b3a5d14-ae2e-414a-b18e-9092618a1fdf f20756b3-8e98-43da-bce3-f5ff288b7f1b 344a1819-e46f-41e0-8815-c1cce060d0eb 3260cbb0-a2a5-4089-9916-be3627edd829 dbf0a60b-1131-4d3f-b58c-aad5aedf808b 70b3a133-52a7-4f7e-bd11-447ef6b40511 ef82019d-28b1-4c88-bc26-2627cb3c6e7b dbdc48fa-7bc1-4d78-8b81-48e5f38a1bef fa68db71-568b-4629-974d-b42c72f50b62 391b00a7-80ad-45d1-a6ab-154721de1c6b ee98e49d-80e2-4d0a-aba8-934fb9370300 7fea1a00-0d6d-4483-9a6f-ffea962d6fe5 db47ed1f-b090-4d97-9238-6b9a37e145c1 3da765c1-0aa4-49b2-82ad-7d263859d4f4 c511c155-6057-42ac-b510-19b1c465d1df 8691ef78-f84b-4e10-b2d1-0f2f8d50d0a7 aabbf74e-80b5-4596-b2d1-844f7caae74e 49e4b7b8-9ea8-4618-af9a-b7081bf82921 f5ddf043-ca14-4de8-9768-938865502311 5d273d2b-8ed5-485d-a113-4305e1623123 235ed36d-1a59-4a19-8ac3-f1756c81975c 4fdc1101-b0f6-445b-9abc-02c3fc51ca4a 4dc0e27a-fd36-42e3-b01b-e097e4a4238f 056bea14-0fb3-40cd-8499-9ba461083766 fbc26087-e35a-4eda-a96f-3bb010db354b 1a40a772-fb58-4a7f-8786-84257e56d50b 37f98474-a060-402e-9bf6-1d980ac6fc54 02659a6d-a87c-47e6-9d93-754e224e64d3 5c43b38c-2ccc-4cf9-8856-3f416cd0a338 f110309d-090f-43ad-824d-2a31c7423cb7 1130c78b-89a3-411a-a658-a2078de417dd 30203023-d41c-4aa4-9a22-a30d69155550 b2ed3fe7-8b8a-49ec-9bd3-e7cca4f2d89a 71877ece-3207-43fa-8a0d-1042bf19c254 d3b19c20-ae56-4306-a085-e2b5b33a9801 90d49ef4-07db-4cbd-89c2-d5030bdcd22d 8a97a07b-b739-47a9-b738-49e1dff47710 bdd068b9-4042-4963-a095-be50167f15aa 332c3915-c196-4a2c-abe6-c11133ea07c8 ad1e9e3a-bfa8-481b-8ddf-53f8381c98c4 9c800620-87ff-49b9-b9cb-9f474785840c 5813374b-14a1-4a26-ba62-ff7a5c5bcfb2 4045a8ac-4b7b-4b27-8baf-2e06b0098463 617c236b-3f2b-41e0-8a50-93470529d251 87d11289-3ca3-4938-b766-02f3a130f53d 8b672272-f46d-49dd-b458-37af30534600 a954f992-6688-4320-aaac-c6acc26d5410 7e2705de-22ef-44dc-b5b8-b9ef26f4314e 0f7f00f8-7a15-4739-9a9e-c5ea1b593def a6e2d271-c886-4d25-aac6-6e26a29e3fae 70970e71-4fdf-44e0-9e0b-cb20e235acb3 236c018b-b465-4617-9be2-08aa43a1a17c 8a4018b4-f571-4992-b7a5-897276bff0c1 8dd7e317-b441-4f32-b3e5-2b21b435115c c05e9cb5-6242-497a-b0ae-3df1476875a0 e3ee6dbd-1100-499a-94a3-98569afc65f4 326fdea3-9cb8-49eb-97f9-6e47c32a88f5 c9823ea3-0d01-4580-be1c-c2ece54a42ea 45909a94-1d48-473a-94b1-c28846ed8af2 df3a627a-e7c9-4a47-9d01-b34efa271d65 ef2e1e24-ef53-48ec-903f-a1c14bbc56e7 04846f32-cd0b-48de-9a45-1e0a8a31cdd6 efd8a1d9-e351-4a6d-a3a7-8b873e1b92d2 8870173b-f15a-444f-801b-ad5765926109 a2b8fd18-8a4a-46e9-a4f3-2fbc0f426f6f d9bfa130-f2be-40d1-bfe6-6873b648a3ce 204d44cf-2140-49ea-a94c-e67299b60eef,,,
roll-alloy,100,10,16,4,0.4,0.16,87.81158,594ec14a3e9d730001924da6 5a6adef80384310001944ba8 5d1642dfa80294001e5271c4 5d323affa754dc00018b15cc,5887951f5b971900013a03c0 5aff2de2a415960001f26f36 5c045c0d5df86a0001971e68 5c697f4575b3d50001b8a537 5e08b611361a851bde3ce928 5e8a03c98707ab000b65f3bb,4.0,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,ce080cd7-dbff-4f8b-b3b8-9f79ecaade77 99766cad-03c2-4daa-a2a4-df572179c2a6 d332f530-c695-4229-800b-fea5625eed4b d6b9e997-e06d-4fa7-8819-90793246de23 3c853cfe-a34d-4c5d-b41d-2cf76ea5d0b1 2cdf4714-04e7-48a7-bccc-a99f71c9a393 21484de0-ae0f-46ea-9f7c-b73a67d8bf25 c0852c03-65ef-4233-b850-618f199af39c 625b2e08-e2bb-4734-be0c-dcb34864229b 716356aa-2528-4f26-bc50-fc5c79e74274 91b468f3-90fe-4b09-8bfc-9c6d549b2803 eaba59a5-6ec4-4b7f-a075-f528f41270a5 f0a6f945-2b5b-4fca-ac99-12aeb6a05de5 d6cf77cd-cab9-4cd7-82ef-157d7598bf5c f3a59269-c92d-4aad-be5b-d6a7ae6ad780 083bf7b3-c263-479f-ba8f-b41ebd708593 b532941b-6d6b-4041-a388-982652c87ec1 246fd9f6-51b4-412f-b8ae-2168b2dec3c1 83296253-215b-4eb3-94b0-c2deabb5346f 193f6c29-40b2-4b9f-b945-f74187858955 5e401dd2-eae9-43ae-8c12-3383e5aa288a 6e972469-7358-43b9-a645-5648bc8169a1 e17b94a6-9ed7-4101-aee5-b5f9e05f8842 381a4b4c-96aa-4aa8-a23c-fd0afb5f017d b923a4d8-2fa7-4286-a545-7ff8f1d1cea1 050baf1f-48c9-47ee-a89d-0805f6a97e50 db0356da-16b2-44f0-a76d-161e30885121 567fef10-5f66-4d63-8bdb-0e157eec0e3e 2f881d84-ca74-4925-866f-4bfd9e2e0786 16aebf17-d5a6-4809-abd3-eef081093723 b748bd24-a464-45f5-b331-5efc0db3ca14 af06aa89-9186-4155-bc9b-1c19d2400eb0 4af921c0-383b-41af-aab0-46477378e1c8 d04a2b00-bda1-4e0b-a5cb-842d228d111f f6e7a84b-61d5-406e-bcd2-ee8c14b1a5b3 69622c4b-3c89-4aa7-b9a8-78d0e08e2e50 fda8c4e4-2f4e-4d5f-9142-2ecab8862a0d 5bec31cd-3609-42fa-978d-cf3d482c30c7 bfe5dee6-4a80-4449-a24c-19262a2530f4 f4067505-318a-4c2a-88ea-b5e4e7a84acc,,,
roll-marble,100,10,14,4,0.4,0.14,87.81158,594ec14a3e9d730001924da6 5c045c0d5df86a0001971e68 5d1642dfa80294001e5271c4 5d323affa754dc00018b15cc,5887951f5b971900013a03c0 5a6adef80384310001944ba8 5aff2de2a415960001f26f36 5c697f4575b3d50001b8a537 5e08b611361a851bde3ce928 5e8a03c98707ab000b65f3bb,2.0,3.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,,,,1.0,b696bc5f-955e-458c-aa91-bd0466b87cd2 b0b3d061-1736-4e95-9902-e882b9e36428 8c0f984d-1116-4109-a2b5-a6f24cad92e9 37f274f3-b27a-49a1-b039-dac404e381c7 5c1a9e69-ef09-4af8-b3c4-9cbce9ff0ced 859c135a-dff0-408b-9d89-92743bc212aa 8fe96172-47cc-4058-89c1-3c644cb0cdef 5af85b60-9bed-4436-a63a-320d7674ed33 764ae835-e0c6-4721-af61-5333690dfd08 8539b5b4-09ec-4db2-ae00-cf102e1c9e46 6e8764bf-28d6-4517-a96f-9257b1148e44 55c4f9bc-855f-489b-aa19-92e96fc7f3a7 10c80adb-4796-4e2f-ba53-3c02447ecb5f ab2e28c8-2ce8-4774-8716-0d40a2e594a4 caf9c129-fc1f-4df0-9fc0-b6eb69105c55 84440271-1417-46cf-a634-6920fa22b19c 339fa95a-082b-4017-b25f-2fc25f9ae779 8549d86e-0d7e-4ded-8a6c-a65d465dd4f8 7c1fd29a-78ee-4f7d-8618-3d809583a9d2 270dd0ba-0f7f-4f35-b998-2ad521d3ca72 a36f24f8-c93a-4875-8afe-48dc22e3a9c6 f00df1eb-ef3f-44c6-8883-7a7d3f64112c cc9b9f94-e929-4c4a-9a4b-525d694ab0a7 2f5e1a17-1eb5-402d-8b44-9337e2810790 f99caca6-7684-42ae-83e5-4e62a617d1d3 f13aee30-2f30-4b55-8809-6da2ca5751a5 0b5d7563-64be-45d4-ab7f-c54f0f0e73a3 e06c6040-11a0-4cea-b1f7-db34e3ede6fc 4f52dc8f-5b38-487a-a489-379a8982b972 e807a6e2-b352-4a19-b2d5-e6248cac4a31 3f04eaf9-75bf-4cdf-bc98-528d38b9b646 201d9eb0-8591-4ba0-a4f3-86693930bbac 4aef731b-d161-454a-957f-b114d48a80b1 0ee5c850-cfa4-4570-8510-6efede03cc5d d51acc63-3d8c-4e9c-8487-7c9775b7a74c 63ff6657-dfc5-4da7-81b0-c2e4ee416ec0 b3519663-9078-4baa-8309-314882a5d0c0 5a9820b1-6250-4fa3-b0e5-4bace1b05a7f a593518d-5537-46ea-b506-8750dc466489 7a651785-657f-4cf0-aae2-5923326ae54a,,,
red-mentzelia,100,10,7,2,0.2,0.07,87.81158,5c697f4575b3d50001b8a537 5d323affa754dc00018b15cc,5887951f5b971900013a03c0 594ec14a3e9d730001924da6 5a6adef80384310001944ba8 5aff2de2a415960001f26f36 5c045c0d5df86a0001971e68 5d1642dfa80294001e5271c4 5e08b611361a851bde3ce928 5e8a03c98707ab000b65f3bb,,,1.0,1.0,,,1.0,,,,1.0,,,,,67287492-fbc5-4673-8f2c-ed5d07b1f12b daa553b0-a47e-4f11-96a2-28ac02a5e346 2fafbaee-a16e-4421-8e30-4cf0f358b135 63406949-c74b-48fc-849d-845f559ee2c5 0ef1166d-a0dc-408a-bac2-92c78660c199 6e35a56a-b1a8-40df-8209-e9299cb4b424 f3e48e18-2e5a-4ecf-aeaf-3fe9e9a370c1 92aef01a-7fee-4f70-8ef1-069cdded0ef0 0ae84bc9-faf0-4f7f-a93c-1bdcb8d49e87 31946c6b-429d-4f5a-babb-734bf190d51e d7bb680e-8339-4f10-83d0-f7580f51fa4c f11d117f-3451-4b01-b5f5-7e5474050d43 f91f5215-8e3b-49c7-a7e6-899c3eb788f3 05a16750-3d1e-4b1b-9cdc-99c6a21b5c16 1cc66674-2cc3-48e9-a57f-9733ce065a90 d70cd696-7039-4f8e-a689-1eec79837109 523ac421-7ca0-4797-b413-c329fd96dbfc 965d8465-ae79-4a60-8c30-70f7bc3d0f73 cc549027-ed09-4e49-aef9-2110fc66567d a11fa325-7c13-401d-ae03-0caa754d4d75,1.0,1.0,1.0
red-yogurt,100,10,6,2,0.2,0.06,87.81158,5c697f4575b3d50001b8a537 5d323affa754dc00018b15cc,5887951f5b971900013a03c0 594ec14a3e9d730001924da6 5a6adef80384310001944ba8 5aff2de2a415960001f26f36 5c045c0d5df86a0001971e68 5d1642dfa80294001e5271c4 5e08b611361a851bde3ce928 5e8a03c98707ab000b65f3bb,,,,1.0,,,,,,,1.0,,1.0,1.0,,6a34cba8-ffac-4f40-acf8-7f068cdafbf0 055fb291-885d-42ac-8267-8fe6fe9e81f1 38dcb822-bc59-40b7-80fe-eff7991585e9 58aa868f-e1e4-4308-9575-333c964ab726 9523c621-57d8-4e44-9999-c71b1df4d1d5 a3c51838-0ab8-4523-bb49-13aa40353b55 7488b884-4778-47f2-87df-cebd757d80af e2056f5b-0fb8-4435-9aa0-45ce275b7ee9 d081b7f0-fb87-449c-940e-582bf6f79b71 9e9bf041-de96-4c5c-89ce-cc85f6c61d81 a3a1d258-3593-4191-b733-3c8a8ce15213 5b8e1a3d-26ac-4ef7-ad49-10eb899f628d 468ffeb2-9fb7-4b3e-93d9-f066fd305b0e 497699b1-147c-4e82-805b-7dd03ecd4fad f2a22cc1-d877-465a-89c0-2b3020e1b38e d7742e28-17f5-4cca-8307-cfdea2b4bc7b d08ba30f-f723-45e6-b09f-877ce21fa46e 0cf2c619-2d19-47b0-b8da-7c1cdbd647d8 236a8bd2-207c-40f8-9a99-ed860a1322b7 c48ef4ac-2500-4bab-83c5-035f1360aadb,1.0,1.0,
round-banjo,60,10,0,0,0.0,0.0,146.35263333333333,,5887951f5b971900013a03c0 594ec14a3e9d730001924da6 5a6adef80384310001944ba8 5aff2de2a415960001f26f36 5c045c0d5df86a0001971e68 5c697f4575b3d50001b8a537 5d1642dfa80294001e5271c4 5d323affa754dc00018b15cc 5e08b611361a851bde3ce928 5e8a03c98707ab000b65f3bb,,,,,,,,,,,,,,,,,,,
_check2-_check2,10,10,0,0,0.0,0.0,878.1158000000001,,5887951f5b971900013a03c0 594ec14a3e9d730001924da6 5a6adef80384310001944ba8 5aff2de2a415960001f26f36 5c045c0d5df86a0001971e68 5c697f4575b3d50001b8a537 5d1642dfa80294001e5271c4 5d323affa754dc00018b15cc 5e08b611361a851bde3ce928 5e8a03c98707ab000b65f3bb,,,,,,,,,,,,,,,,,,,
_test3-_test,10,10,0,0,0.0,0.0,878.1158000000001,,5887951f5b971900013a03c0 594ec14a3e9d730001924da6 5a6adef80384310001944ba8 5aff2de2a415960001f26f36 5c045c0d5df86a0001971e68 5c697f4575b3d50001b8a537 5d1642dfa80294001e5271c4 5d323affa754dc00018b15cc 5e08b611361a851bde3ce928 5e8a03c98707ab000b65f3bb,,,,,,,,,,,,,,,,,,,
