session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5e7378182a8fca2bf58497a8,5cb4f4ec46ed130001d15b05,AWAITING REVIEW,2020-03-19 13:48:10.286000,2020-03-19 14:09:38.775000,1288.489,52,197,2,100,,4119571E,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
5e73781857b79f01d0f0242d,5c30666370d93a000122db0e,AWAITING REVIEW,2020-03-19 13:48:10.528000,2020-03-19 14:05:15.695000,1025.167,21,69,5,89,,4119571E,Israel,Israel,Full-Time,Hebrew,Israel,Male,No
5e737818045488033d5550eb,5cd74735c78b7d0001f9b364,AWAITING REVIEW,2020-03-19 13:48:08.642000,2020-03-19 14:19:16.260000,1867.618,28,139,0,100,,4119571E,Italy,Spain,Full-Time,Italian,Italy,Male,No
5e737818322f7d2cd981e8da,5be1c7de91deed00015a97b9,AWAITING REVIEW,2020-03-19 13:48:10.440000,2020-03-19 13:54:55.196000,404.756,22,111,4,97,,4119571E,Poland,Poland,Full-Time,Polish,Poland,Male,No
5e73781ba19f2002fbf112e2,5dcca4e1547c1f92e47d9821,AWAITING REVIEW,2020-03-19 13:48:13.405000,2020-03-19 13:59:55.818000,702.413,23,33,0,100,,4119571E,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
5e73781fd302e92c0f7208c7,5bb7b83ab791890001f4fd90,AWAITING REVIEW,2020-03-19 13:55:59.265000,2020-03-19 14:06:15.867000,616.602,51,275,0,100,,4119571E,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
5e73781f7d5fd02d225b8fe7,5d82852ae7a57100011a6122,AWAITING REVIEW,2020-03-19 13:48:15.513000,2020-03-19 14:04:12.375000,956.862,19,25,0,100,,NOCODE,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Male,No
5e73781fcd787b0298295d69,5e3b3b935da22c09084bbc02,AWAITING REVIEW,2020-03-19 13:48:15.582000,2020-03-19 14:05:19.187000,1023.605,30,13,0,100,,4119571E,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
5e73781f29405c2d5795cd86,5c542a124e2ebe0001458bf9,AWAITING REVIEW,2020-03-19 13:52:19.913000,2020-03-19 14:02:50.268000,630.355,19,141,0,100,,4119571E,Poland,Poland,Other,Polish,Poland,Male,Yes
5e73781fa53b482d5f2835c8,5ba5229ba4e9280001e6cf9c,AWAITING REVIEW,2020-03-19 13:48:18.191000,2020-03-19 13:58:03.974000,585.783,24,107,1,100,,4119571E,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
