label,categories_str,sources_str,certainty,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,word_noun_spacy?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,filter,conc,fam,aoa
neg,neg_met,manually_included,certain,0.0633434956,3,False,-,argument,argument,43743,True,True,True,3,7,7,0.23529411764705882,0.34703095813224083,poly,met non-met,abs,False,,,
neg,blue,conceptnet,not_certain,0.1018353567,3,False,-,world,world,1622378,True,True,True,4,8,9,0.1,0.29886228936427967,poly,met non-met,abs-conc-n,False,532,607,
neg,is_black,cslb,not_certain,0.1149566113,2,True,-,recorder,recorder,11384,True,True,True,3,0,4,0.36363636363636365,0.5185383308953103,poly,non-met,conc,True,,,
neg,neg_met,manually_included,certain,0.1201571755,-,True,-,thought,think,209762,True,True,False,4,14,14,0.2,0.33651811151811123,homonyms_only_different_pos,met non-met,abs,False,274,603,347
neg,is_black,cslb,not_certain,0.1277214999,-,True,-,newspaper,newspaper,157687,True,True,True,1,5,4,0.1,0.24847494553376906,poly,non-met,abs-conc,True,576,641,292
neg,is_black,cslb,not_certain,0.1379525028,-,True,-,football,football,719207,True,True,True,1,0,2,0.1,0.1,poly,non-met,abs-conc,True,584,565,233
neg,is_blue,mcrae,not_certain,0.143194777,-,True,neg-is_blue-all,bluejay,bluejay,102,False,False,True,0,0,0,None,,,,-,False,,,
neg,is_black,veale_simile,not_certain,0.1448059419,-,True,-,crypt,crypt,7106,True,True,True,0,0,1,0.8181818181818182,0.8181818181818182,mon,,conc,True,573,320,539
neg,blue,conceptnet,not_certain,0.149156058,-,True,-,shy,shy,10056,True,True,False,4,4,6,0.2222222222222222,0.2222222222222222,homonyms_also_same_pos,non-met,abs,False,,,
pos,is_red,veale_simile,not_certain,0.1506662666,-,True,-,indian,indian,332847,True,True,False,0,0,5,0.15384615384615385,0.3173639226270805,,non-met,abs-conc,False,622,546,
neg,neg_met,manually_included,certain,0.1519304829,-,True,-,fear,fear,58911,True,True,True,2,10,8,0.14285714285714285,0.3991452991452992,homonyms_only_different_pos,non-met,abs,True,326,569,
neg,is_black,cslb,not_certain,0.1566335968,-,True,-,suit,suit,53572,True,True,True,6,11,10,0.1111111111111111,0.2847771272251591,homonyms_only_different_pos,met non-met,abs-conc,True,545,543,
