label,categories_str,sources_str,certainty,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,word_noun_spacy?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,filter,conc,fam,aoa
neg,is_round,mcrae,not_certain,0.0780611071,3,False,neg-is_round-all,baton,baton,12610,True,True,True,1,0,5,0.7368421052631579,0.766549707602339,poly,,conc,False,570,424,
neg,round square,conceptnet,not_certain,0.0994415769,3,False,-,world,world,1622378,True,True,True,4,8,9,0.1,0.29886228936427967,poly,met non-met,abs-conc-n,False,532,607,
neg,round,conceptnet,not_certain,0.1147301478,3,False,-,football,football,719207,True,True,True,1,0,2,0.1,0.1,poly,non-met,abs-conc,False,584,565,233
neg,is_round,mcrae,not_certain,0.1182700488,3,False,neg-is_round-all,beets,beet,1374,True,True,True,1,0,2,0.2,0.2,poly,,conc,False,,,
neg,neg_met,manually_included,certain,0.1374648941,3,False,-,report,report,212954,True,True,True,5,10,13,0.2,0.4565143190143189,homonyms_only_different_pos,non-met,abs,False,417,590,386
neg,neg,manually_included,certain,0.1382839914,3,False,-,carrot,carrot,2821,True,True,True,2,0,4,0.09523809523809523,0.1915065441381231,poly,non-met,abs-conc,False,622,539,
neg,round,conceptnet,not_certain,0.1435965499,3,False,-,basketball,basketball,187540,True,True,True,1,0,2,0.1,0.1,poly,,abs-conc,False,,,
neg,is_round,mcrae,not_certain,0.1440280524,3,False,neg-is_round-all,cabbage,cabbage,4316,True,True,True,1,0,4,0.10526315789473684,0.14097007223942207,poly,,abs-conc,False,611,504,
neg,is_round,mcrae,not_certain,0.1448110083,3,False,neg-is_round-no,banana,banana,10769,True,True,True,2,0,2,0.38095238095238093,0.38095238095238093,mon,,conc,False,633,576,
neg,is_round,mcrae,not_certain,0.1488311714,3,False,neg-is_round-all,bowl,bowl,100099,True,True,True,4,5,12,0.11764705882352941,0.36320669310666914,homonyms_also_same_pos,non-met,abs-conc,False,575,557,256
neg,neg_met,manually_included,certain,0.1491045114,3,False,-,program,program,473642,True,True,True,6,12,10,0.19047619047619047,0.32447331857495193,homonyms_only_different_pos,,abs,False,,,
neg,is_round,mcrae,not_certain,0.1541701615,3,False,neg-is_round-all,cantaloupe,cantaloupe,287,True,True,True,1,0,2,0.3076923076923077,0.3076923076923077,,,conc,False,,,
neg,is_round,mcrae,not_certain,0.1730866264,3,False,neg-is_round-all,blueberry,blueberry,2067,True,True,True,1,0,2,0.34782608695652173,0.34782608695652173,mon,,conc,False,,,
neg,round,conceptnet,not_certain,0.1759125167,3,False,-,baseball,baseball,177203,True,True,True,1,0,2,0.09090909090909091,0.09090909090909091,poly,non-met,abs-conc,False,,,
neg,is_round,mcrae,not_certain,0.1803972096,3,False,neg-is_round-all,banjo,banjo,7240,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg,round,conceptnet,not_certain,0.1846142605,3,False,-,oval,oval,26400,True,True,False,0,0,2,None,,mon,non-met,abs,False,,,
neg,is_round,mcrae,not_certain,0.1879134209,2,True,neg-is_round-some,biscuit,biscuit,3219,True,True,True,1,0,2,0.7058823529411765,0.7058823529411765,poly,non-met,conc,True,574,521,
neg,is_round,mcrae,not_certain,0.1902798363,-,True,neg-is_round-all,barrel,barrel,26331,True,True,True,2,8,6,0.10526315789473684,0.22013627583287027,poly,non-met,abs-conc,True,590,487,319
neg,round,conceptnet,not_certain,0.194148164,-,True,-,circles,circle,27366,True,True,True,3,11,11,0.1,0.21688155519924215,homonyms_only_different_pos,met non-met,abs-conc,True,,,
neg,round,conceptnet,not_certain,0.2004117061,-,True,-,oranges,orange,3774,True,True,True,2,0,6,0.09090909090909091,0.21267781238369476,homonyms_only_different_pos,non-met,abs-conc-n,True,,,
neg,round,conceptnet,not_certain,0.2012430556,-,True,-,egg,egg,30333,True,True,True,2,0,5,0.2,0.22395510835913313,poly,met non-met,conc,True,613,608,186
neg,round,conceptnet,not_certain,0.2059569816,-,True,-,circle,circle,75249,True,True,True,3,11,11,0.1,0.21688155519924215,homonyms_only_different_pos,met non-met,abs-conc,True,515,581,214
neg,round,conceptnet,not_certain,0.2217276721,-,True,-,marbles,marble,2365,True,True,True,2,0,4,0.23529411764705882,0.3284313725490196,poly,met non-met,abs-conc,True,,,
neg,round,conceptnet,not_certain,0.2250405691,-,True,-,frisbee,frisbee,1532,True,True,True,0,0,1,0.8333333333333334,0.8333333333333334,,,conc,True,,,
neg,neg,manually_included,certain,0.2250573662,-,True,-,mug,mug,1390,True,True,True,3,0,5,0.125,0.22725215817321084,homonyms_only_different_pos,,abs-conc,True,576,527,
neg,neg,manually_included,certain,0.229832204,-,True,-,pen,pen,27842,True,True,True,4,0,6,0.3333333333333333,0.5124242424242424,homonyms_also_same_pos,non-met,conc,True,571,554,
neg,round is_round,conceptnet mcrae,not_certain,0.239684294,-,True,neg-is_round-all,ball,ball,137087,True,True,True,3,0,13,0.08,0.20951374560226235,homonyms_also_same_pos,non-met,abs-conc-n,True,615,575,150
neg,round,conceptnet,not_certain,0.2409068179,-,True,-,marble,marble,29389,True,True,True,2,0,4,0.23529411764705882,0.3284313725490196,poly,met non-met,abs-conc,True,611,436,294
neg,round,conceptnet,not_certain,0.24375142,-,True,-,planets,planet,23876,True,True,True,1,0,3,0.5,0.6190476190476191,mon,non-met,conc,True,,,
neg,round,conceptnet,not_certain,0.2442728785,-,True,-,tarts,tart,484,True,True,True,3,0,5,0.25,0.4467320261437908,homonyms_only_different_pos,,conc,True,,,
neg,round,conceptnet,not_certain,0.254483671,-,True,-,sphere,sphere,23135,True,True,True,2,6,7,0.1,0.2604244261807287,poly,,abs-conc,True,489,457,
neg,round,conceptnet,not_certain,0.2597695535,-,True,-,button,button,22677,True,True,True,3,0,9,0.09090909090909091,0.3734062513931638,homonyms_only_different_pos,non-met,abs-conc,True,613,573,192
neg,round,conceptnet,not_certain,0.2605518246,-,True,-,globe,globe,42074,True,True,True,2,0,3,0.125,0.25595238095238093,poly,non-met,abs-conc-n,True,535,477,364
neg,round,conceptnet,not_certain,0.2617826232,-,True,-,balls,ball,28297,True,True,True,3,0,13,0.08,0.20951374560226235,homonyms_also_same_pos,non-met,abs-conc-n,True,,,
neg,round,conceptnet,not_certain,0.2628449383,-,True,-,frisbees,frisbee,119,True,True,True,0,0,1,0.8333333333333334,0.8333333333333334,,,conc,True,,,
neg,round,conceptnet,not_certain,0.2636458646,-,True,-,tortillas,tortilla,684,True,True,True,0,0,1,1.0,1.0,mon,,conc,True,,,
pos,pos,manually_included,certain,0.2645616775,-,True,-,newspaper,newspaper,157687,True,True,True,1,5,4,0.1,0.24847494553376906,poly,non-met,abs-conc,True,576,641,292
neg,is_round,mcrae,not_certain,0.2651849066,-,True,neg-is_round-all,bracelet,bracelet,3240,True,True,True,1,0,2,0.5882352941176471,0.5882352941176471,mon,,conc,True,602,547,
neg,round,conceptnet,not_certain,0.2721544128,-,True,-,wheels,wheel,35256,True,True,True,3,4,11,0.10526315789473684,0.4312622680355737,homonyms_only_different_pos,met non-met,abs-conc,True,,,
neg,neg_met,manually_included,certain,0.2747038532,-,True,-,text,text,122947,True,True,True,3,0,4,0.10526315789473684,0.4196602617655249,poly,non-met,abs-conc,True,498,511,486
neg,is_round,mcrae,not_certain,0.2926547337,-,True,neg-is_round-all,apple,apple,48472,True,True,True,1,0,2,0.32,0.32,poly,non-met,conc,True,620,598,211
neg,is_round,mcrae,not_certain,0.3047085602,-,True,neg-is_round-most,bucket,bucket,7172,True,True,True,2,0,4,0.13333333333333333,0.19166666666666665,homonyms_only_different_pos,,abs-conc,True,594,506,
neg,round,conceptnet,not_certain,0.3106448579,-,True,-,cds,cds,16324,True,True,True,0,0,4,0.10526315789473684,0.20887205759496777,,,abs-conc,True,,,
neg,is_round,mcrae,not_certain,0.3260773641,-,True,neg-is_round-some,ashtray,ashtray,401,True,True,True,0,0,1,1.0,1.0,mon,non-met,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3357830625,-,True,-,modillioned,modillion,219,True,True,False,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.335932207,-,True,-,dumbwaiter,dumbwaiter,150,True,True,True,0,0,1,1.0,1.0,poly,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.336060278,-,True,-,zoombinis,zoombinis,116,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3363863874,-,True,-,expander,expander,526,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.336480952,-,True,-,suites,suite,8494,True,True,True,3,0,4,0.125,0.25117521367521367,poly,non-met,abs-conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3365063101,-,True,-,smartphones,smartphone,4106,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3365676427,-,True,-,cafeterias,cafeteria,754,True,True,True,0,1,1,1.0,1.0,mon,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.336690525,-,True,-,door,door,91220,True,True,True,1,9,5,0.09523809523809523,0.4200681851688044,poly,met non-met,abs-conc,True,606,630,214
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3369677382,-,True,-,gp2x,gp2x,139,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3370148492,-,True,-,snack,snack,5025,True,True,True,0,0,2,None,,homonyms_only_different_pos,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3377161084,-,True,-,armrest,armrest,368,True,True,True,0,0,1,1.0,1.0,,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3377441692,-,True,-,sideboard,sideboard,227,True,True,True,2,0,3,0.5882352941176471,0.6838235294117648,mon,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3380640924,-,True,-,washrooms,washroom,491,True,True,True,0,0,1,1.0,1.0,mon,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3383150915,-,True,-,tascam,tascam,145,False,False,True,0,0,0,None,,,,-,False,,,
pos,pos,manually_included,certain,0.3383374182,-,True,-,book,book,640806,True,True,True,8,17,15,0.11764705882352941,0.33598643936156,homonyms_only_different_pos,met non-met,abs-conc-n,True,609,643,214
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3384672031,-,True,-,keypads,keypad,162,True,True,True,0,0,1,0.9090909090909091,0.9090909090909091,,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3386915813,-,True,-,xlib,xlib,101,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3387861229,-,True,-,mainframe,mainframe,3022,True,True,True,2,0,2,0.6,0.6,,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.339270826,-,True,-,ipads,ipad,657,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3393680114,-,True,-,armrests,armrest,306,True,True,True,0,0,1,1.0,1.0,,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3400996011,-,True,-,stairwells,stairwell,514,True,True,True,0,0,1,1.0,1.0,mon,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3402493309,-,True,-,fireplaces,fireplace,2349,True,True,True,0,0,1,1.0,1.0,poly,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3403510658,-,True,-,128kb,128,189,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3405782564,-,True,-,sharpeners,sharpener,108,True,True,True,0,0,1,1.0,1.0,mon,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3411090281,-,True,-,sparcstation,sparcstation,202,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.341734025,-,True,-,couches,couch,578,True,True,True,1,0,4,0.47619047619047616,0.5793650793650794,homonyms_only_different_pos,,abs-conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3419320167,-,True,-,archos,archos,252,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3420825582,-,True,-,cantellated,cantellat,118,False,False,False,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3421733981,-,True,-,server,server,34918,True,True,True,2,0,4,0.38095238095238093,0.4675020885547201,poly,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3421912071,-,True,-,cards,card,67435,True,True,True,9,1,13,0.09523809523809523,0.312776821715068,homonyms_also_same_pos,met non-met,abs-conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3424388571,-,True,-,lavatories,lavatory,439,True,True,True,1,0,3,0.5555555555555556,0.6296296296296297,poly,non-met,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3429462987,-,True,-,victrola,victrola,151,True,True,False,0,0,1,1.0,1.0,,,conc,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3429774344,-,True,-,parlors,parlor,1098,True,True,True,0,0,2,0.8421052631578947,0.8421052631578947,,,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.343201223,-,True,-,cabinets,cabinet,5730,True,True,True,2,0,4,0.09523809523809523,0.3172375382901698,poly,non-met,abs-conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.343256324,-,True,-,doorbell,doorbell,565,True,True,True,0,0,1,1.0,1.0,mon,non-met,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3433630483,-,True,-,macpaint,macpaint,103,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3439150082,-,True,-,photocopiers,photocopier,197,True,True,True,0,0,1,1.0,1.0,mon,non-met,conc,True,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3440440759,-,True,-,duoprism,duoprism,122,False,False,True,0,0,0,None,,,,-,False,,,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3443757365,-,True,-,basement,basement,26654,True,True,True,2,0,2,0.7058823529411765,0.7058823529411765,mon,,conc,True,585,522,
neg/pos,neighbors-200,wikipedia_sgns_model,not_certain,0.3444297199,-,True,-,bitruncated,bitruncat,144,False,False,False,0,0,0,None,,,,-,False,,,
