label,categories_str,sources_str,certainty,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,word_noun_spacy?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,filter,conc,fam,aoa
neg,neg_met,manually_included,certain,0.0274441966,3,False,-,debate,debate,68676,True,True,True,2,6,6,0.25,0.5988749345892204,homonyms_only_different_pos,non-met,abs,False,375,459,564
pos/neg,fruit,wn_hypernym,not_certain,0.0537263683,3,False,-,key,key,195999,True,True,False,13,6,21,0.1,0.23732294776311444,homonyms_also_same_pos,non-met,abs-conc-n,False,612,603,
neg,neg_met,manually_included,certain,0.058075247,3,False,-,argument,argument,43743,True,True,True,3,7,7,0.23529411764705882,0.34703095813224083,poly,met non-met,abs,False,,,
neg,neg_met,manually_included,certain,0.0958573928,3,False,-,hatred,hatred,11277,True,True,True,0,0,1,1.0,1.0,mon,,abs,False,239,544,
neg,neg_met,manually_included,certain,0.0967068701,3,False,-,problem,problem,137495,True,True,True,2,3,3,0.2857142857142857,0.2857142857142857,poly,non-met,abs,False,360,596,367
pos/neg,vegetable,wn_hypernym,not_certain,0.1028780258,2,True,-,edda,edda,2299,True,True,True,0,0,2,0.1111111111111111,0.1111111111111111,,,abs-conc,True,,,
pos/neg,fruit,wn_hypernym,not_certain,0.1036465721,2,True,-,bartlett,bartlett,7014,True,True,False,0,0,3,0.34782608695652173,0.4429261559696342,,,conc-n,False,,,
pos,sweet,conceptnet,not_certain,0.1041379135,-,True,-,most,most,1834756,True,False,False,3,0,5,None,,homonyms_only_different_pos,non-met,-,False,321,560,
pos/neg,fruit,wn_hypernym,not_certain,0.1050307791,-,True,-,marang,marang,134,True,True,True,0,0,2,0.3333333333333333,0.3333333333333333,,,conc,True,,,
pos/neg,fruit,wn_hypernym,not_certain,0.1052793478,-,True,-,emperor,emperor,154936,True,True,True,2,0,4,0.2962962962962963,0.4543554942105667,mon,,conc,True,527,379,440
pos/neg,vegetable,wn_hypernym,not_certain,0.1118573319,-,True,-,pulse,pulse,16104,True,True,True,5,4,7,0.11764705882352941,0.30248988484282596,homonyms_also_same_pos,met,abs-conc,True,,,
pos,pos_met,manually_included,certain,0.1156494131,-,True,-,gesture,gesture,9050,True,True,True,1,3,4,0.2857142857142857,0.3904761904761904,homonyms_only_different_pos,non-met,abs,True,403,477,494
pos,pos_met,manually_included,certain,0.1161693667,-,True,-,thought,think,209762,True,True,False,4,14,14,0.2,0.33651811151811123,homonyms_only_different_pos,met non-met,abs,False,274,603,347
pos/neg,vegetable,wn_hypernym,not_certain,0.1184087498,-,True,-,cole,cole,41060,True,True,False,1,0,2,0.19047619047619047,0.19047619047619047,,,conc,False,,,
pos/neg,fruit,wn_hypernym,not_certain,0.120298819,-,True,-,samara,samara,2339,True,True,False,0,0,1,1.0,1.0,,,conc,False,,,
pos/neg,vegetable,wn_hypernym,not_certain,0.1220233588,-,True,-,murphy,murphy,36320,True,True,False,0,0,1,1.0,1.0,mon,,conc,False,,,
pos/neg,fruit,wn_hypernym,not_certain,0.125392759,-,True,-,mast,mast,11632,True,True,True,2,0,4,0.21052631578947367,0.37277466056574954,homonyms_also_same_pos,met,conc,True,576,427,392
pos/neg,vegetable,wn_hypernym,not_certain,0.1326821651,-,True,-,dahl,dahl,4282,True,True,False,0,0,2,0.19047619047619047,0.19047619047619047,,non-met,conc,False,,,
pos/neg,vegetable,wn_hypernym,not_certain,0.1334916925,-,True,-,cos,cos,3796,True,True,False,2,0,6,0.1111111111111111,0.2605418649691095,homonyms_only_different_pos,non-met,abs-conc-n,False,,,
pos/neg,fruit,wn_hypernym,not_certain,0.1342166991,-,True,-,date,date,218586,True,True,True,5,13,13,0.125,0.2938421958158799,homonyms_also_same_pos,non-met,abs-conc,True,514,613,314
pos/neg,vegetable,wn_hypernym,not_certain,0.1420708944,-,True,-,kail,kail,262,True,True,True,1,0,2,0.19047619047619047,0.19047619047619047,,,conc,True,,,
pos/neg,fruit,wn_hypernym,not_certain,0.142434816,-,True,-,brazil,brazil,104815,True,True,False,1,0,2,0.2608695652173913,0.2608695652173913,,non-met,conc-n,False,,,
neg,is_sweet,cslb_crowd_neg,certain,0.1439101899,-,True,-,porsche,porsche,10517,False,False,True,0,0,0,None,,,non-met,-,False,,,
pos/neg,vegetable,wn_hypernym,not_certain,0.1445065852,-,True,-,mangold,mangold,548,True,True,True,0,0,1,1.0,1.0,,,conc,True,,,
pos/neg,fruit,wn_hypernym,not_certain,0.1482768108,-,True,-,windfall,windfall,1105,True,True,True,2,0,2,0.14285714285714285,0.14285714285714285,poly,,abs-conc,True,,,
pos/neg,fruit,wn_hypernym,not_certain,0.1522354866,-,True,-,saskatoon,saskatoon,5883,True,True,True,0,0,2,0.2857142857142857,0.2857142857142857,,,conc-n,True,,,
pos/neg,fruit,wn_hypernym,not_certain,0.1536502536,-,True,-,pip,pip,3366,True,True,True,5,0,8,0.08695652173913043,0.2446942327949193,homonyms_also_same_pos,,abs-conc,True,,,
pos/neg,vegetable,wn_hypernym,not_certain,0.1550779621,-,True,-,chou,chou,1977,True,True,False,0,0,3,0.10526315789473684,0.2553606237816764,,,abs-conc,False,,,
pos/neg,fruit,wn_hypernym,not_certain,0.1564155654,-,True,-,jak,jak,1541,True,True,False,0,0,1,0.8181818181818182,0.8181818181818182,,,conc,False,,,
