filename,listnumber,assignmentid,hitid,workerid,origin,timestamp,partid,questionid,answer,quid,description,exampletrue,examplefalse,run,sublist,completionurl,id,triple
qu70-s_qu70-batch39.csv,1,NOT AVAILABLE,NOT AVAILABLE,5ca924edb570ed0001d22047,PROLIFIC,05-Dec-2019 10:17:04,113,4418,"""{\""4\"":{\""answer\"":true}}""",d5f65b5c-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) can could be round. ","In an unusual situation, (a/an) rose could be bad. ","In an unusual situation, (a/an) beer could be brown. ",1,1,https://app.prolific.co/submissions/complete?cc=45327B57,23020,unusual-round-can
qu70-s_qu70-batch39.csv,1,NOT AVAILABLE,NOT AVAILABLE,5d0269c97b218c00154bd1bf,PROLIFIC,05-Dec-2019 09:32:26,113,4418,"""{\""26\"":{\""answer\"":true}}""",d5f65b5c-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) can could be round. ","In an unusual situation, (a/an) rose could be bad. ","In an unusual situation, (a/an) beer could be brown. ",1,1,https://app.prolific.co/submissions/complete?cc=45327B57,22794,unusual-round-can
qu70-s_qu70-batch39.csv,1,NOT AVAILABLE,NOT AVAILABLE,5daf08f0a6ced10015914870,PROLIFIC,05-Dec-2019 09:40:53,113,4418,"""{\""57\"":{\""answer\"":false}}""",d5f65b5c-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) can could be round. ","In an unusual situation, (a/an) rose could be bad. ","In an unusual situation, (a/an) beer could be brown. ",1,1,https://app.prolific.co/submissions/complete?cc=45327B57,23002,unusual-round-can
qu70-s_qu70-batch39.csv,1,NOT AVAILABLE,NOT AVAILABLE,5db312a14e72fe000cfb3d03,PROLIFIC,05-Dec-2019 09:35:56,113,4418,"""{\""59\"":{\""answer\"":true}}""",d5f65b5c-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) can could be round. ","In an unusual situation, (a/an) rose could be bad. ","In an unusual situation, (a/an) beer could be brown. ",1,1,https://app.prolific.co/submissions/complete?cc=45327B57,22905,unusual-round-can
qu70-s_qu70-batch39.csv,1,NOT AVAILABLE,NOT AVAILABLE,Insurance,PROLIFIC,05-Dec-2019 09:37:31,113,4418,"""{\""44\"":{\""answer\"":true}}""",d5f65b5c-12a0-11ea-b098-acde48001122,"In an unusual situation, (a/an) can could be round. ","In an unusual situation, (a/an) rose could be bad. ","In an unusual situation, (a/an) beer could be brown. ",1,1,https://app.prolific.co/submissions/complete?cc=45327B57,22957,unusual-round-can
qu70-s_qu70-batch39.csv,1,NOT AVAILABLE,NOT AVAILABLE,5ca924edb570ed0001d22047,PROLIFIC,05-Dec-2019 10:21:05,113,4419,"""{\""42\"":{\""answer\"":false}}""",d75d9b54-12a0-11ea-b098-acde48001122,Most or all vaporizers and other such things roll.,Most or all apple_trees and other such things grow.,Most or all goldfishs and other such things speak.,1,1,https://app.prolific.co/submissions/complete?cc=45327B57,23058,implied_category-roll-vaporizer
qu70-s_qu70-batch39.csv,1,NOT AVAILABLE,NOT AVAILABLE,5d0269c97b218c00154bd1bf,PROLIFIC,05-Dec-2019 09:33:16,113,4419,"""{\""34\"":{\""answer\"":false}}""",d75d9b54-12a0-11ea-b098-acde48001122,Most or all vaporizers and other such things roll.,Most or all apple_trees and other such things grow.,Most or all goldfishs and other such things speak.,1,1,https://app.prolific.co/submissions/complete?cc=45327B57,22813,implied_category-roll-vaporizer
qu70-s_qu70-batch39.csv,1,NOT AVAILABLE,NOT AVAILABLE,5d19dd7ba1dc4b0001464290,PROLIFIC,05-Dec-2019 09:28:20,113,4419,"""{\""0\"":{\""answer\"":false}}""",d75d9b54-12a0-11ea-b098-acde48001122,Most or all vaporizers and other such things roll.,Most or all apple_trees and other such things grow.,Most or all goldfishs and other such things speak.,1,1,https://app.prolific.co/submissions/complete?cc=45327B57,22687,implied_category-roll-vaporizer
qu70-s_qu70-batch39.csv,1,NOT AVAILABLE,NOT AVAILABLE,5daf08f0a6ced10015914870,PROLIFIC,05-Dec-2019 09:35:45,113,4419,"""{\""28\"":{\""answer\"":false}}""",d75d9b54-12a0-11ea-b098-acde48001122,Most or all vaporizers and other such things roll.,Most or all apple_trees and other such things grow.,Most or all goldfishs and other such things speak.,1,1,https://app.prolific.co/submissions/complete?cc=45327B57,22899,implied_category-roll-vaporizer
qu70-s_qu70-batch39.csv,1,NOT AVAILABLE,NOT AVAILABLE,5db312a14e72fe000cfb3d03,PROLIFIC,05-Dec-2019 09:30:35,113,4419,"""{\""10\"":{\""answer\"":false}}""",d75d9b54-12a0-11ea-b098-acde48001122,Most or all vaporizers and other such things roll.,Most or all apple_trees and other such things grow.,Most or all goldfishs and other such things speak.,1,1,https://app.prolific.co/submissions/complete?cc=45327B57,22741,implied_category-roll-vaporizer
